数据分析师,北京·朝阳区·望京,狮桥,18-27K,本科,3-5年,互联网金融
资深数据分析师,北京·东城区·灯市口,云学堂,30-45K,本科,3-5年,互联网
数据分析师,北京·朝阳区·太阳宫,老虎集团,15-25K,本科,1-3年,互联网
高级数据分析师,北京·海淀区·五道口,美图公司,20-40K·15薪,不限,3-5年学历,互联网
高级数据分析师,北京·海淀区·紫竹桥,易车,20-30K·16薪,本科,5-10年,互联网
数据分析工程师,北京·朝阳区·鸟巢,京东世纪贸易有限公司,20-40K,不限,经验不限学历,互联网
数据分析师,北京·海淀区·中关村,小桔科技,25-30K·15薪,本科,1-3年,互联网
数据分析师,北京·朝阳区·鸟巢,中国平安,17-27K,本科,3-5年,互联网金融
资深数据分析师,北京·海淀区·人民大学,乐元素,28-50K·14薪,本科,5-10年,游戏
高级数据分析师,北京·海淀区·中关村,腾讯教育科技,20-30K,本科,3-5年,在线教育
数据分析师,北京,学霸君,15-25K,本科,3-5年,互联网
数据分析师,北京·朝阳区·望京,水滴公司,25-35K,不限,3-5年学历,互联网
数据分析工程师,北京·海淀区·上地,发那科,30-60K·14薪,本科,5-10年,其他行业
数据分析师,北京·大兴区·亦庄,达达集团,20-40K·14薪,本科,3-5年,O2O
高级数据分析,北京·昌平区·回龙观,学而思网校,20-40K·14薪,本科,3-5年,在线教育
高级数据分析师,北京·海淀区·西北旺,华为,30-55K,本科,5-10年,计算机软件
数据分析师,北京·朝阳区·酒仙桥,乐学在线,20-40K,本科,5-10年,移动互联网
高级数据分析经理,北京·海淀区·清河,金山云,35-60K·14薪,本科,5-10年,互联网
高级数据分析师,北京·朝阳区·望京,泡泡玛特POP MART,20-30K,本科,3-5年,新零售
数据分析师,北京·朝阳区·左家庄,寺库,15-25K,本科,1-3年,电子商务
营销数据分析师,北京·朝阳区·百子湾,时趣互动,15-22K,本科,3-5年,移动互联网
数据分析,北京·大兴区·亦庄,京东集团,30-60K·14薪,硕士,3-5年,电子商务
数据分析,北京·朝阳区·太阳宫,BOSS直聘,30-50K,本科,1-3年,人力资源服务
数据分析经理,北京·海淀区·中关村,爱奇艺,30-50K·14薪,本科,5-10年,互联网
数据分析师,北京·海淀区·西二旗,快手,20-35K,本科,3-5年,社交网络
数据分析专家,北京·海淀区·西北旺,滴滴,40-70K,本科,5-10年,移动互联网
数据分析师,北京·海淀区·上地,分享动力,30-50K·14薪,本科,5-10年,互联网
数据分析师,北京·海淀区·马连洼,百度,15-30K,本科,1-3年,互联网
数据分析师,北京·昌平区·回龙观,好未来,20-40K·15薪,本科,5-10年,互联网
数据分析,北京·朝阳区·酒仙桥,便利蜂,15-25K,本科,3-5年,互联网
高级数据分析师,北京·海淀区·西二旗,滴滴出行,20-40K,本科,3-5年,移动互联网
数据分析工程师,北京·朝阳区·酒仙桥,360数科,20-40K,本科,5-10年,互联网
数据分析师,北京·朝阳区·亚运村,中信百信银行,20-40K·14薪,本科,3-5年,银行
数据分析专家,北京·朝阳区·安贞,饿了么,30-60K·13薪,本科,5-10年,O2O
商业广告数据分析,北京·海淀区·西北旺,网易,15-30K·14薪,本科,3-5年,移动互联网
数据分析师,北京·朝阳区·望京,猿辅导,15-30K·14薪,本科,3-5年,在线教育
数据分析师,北京·海淀区·西北旺,腾讯,25-50K·15薪,本科,3-5年,互联网
数据分析师,北京·朝阳区·望京,火花思维,15-25K,本科,3-5年,在线教育
数据分析师,北京·海淀区·西北旺,建信金科,13-26K·16薪,本科,3-5年,银行
资深数据分析,北京·海淀区·清河,小米,25-50K,本科,3-5年,互联网
HR数据分析师,北京·海淀区·上地,作业帮,20-40K·14薪,本科,5-10年,互联网
数据分析师,北京·朝阳区·望京,一点资讯,20-40K·14薪,本科,1-3年,移动互联网
数据分析师,北京,京东商城,12-24K·14薪,本科,5-10年,电子商务
数据分析专家（在线教育）,北京·朝阳区·朝阳大悦城,VIPKID,15-30K·14薪,硕士,3-5年,移动互联网
高级数据分析师,北京·朝阳区·国贸,探探,25-50K,本科,3-5年,互联网
数据分析师,北京·海淀区·上地,新浪网,15-25K·14薪,本科,3-5年,互联网
数据分析师,北京·海淀区·五道口,爱学习教育集团,15-30K·14薪,本科,3-5年,在线教育
数据分析专员,北京·朝阳区·望京,美团点评,17-25K·15薪,本科,3-5年,O2O
数据分析师,北京·海淀区·上地,闪送,18-25K·15薪,本科,1-3年,移动互联网
数据分析师,北京,快看世界,28-40K·16薪,本科,3-5年,移动互联网
工业品数据分析岗,北京·大兴区·亦庄,京东世纪贸易有限公司,30-40K,本科,5-10年,互联网
数据分析师,北京·朝阳区·酒仙桥,车好多集团,28-40K·13薪,本科,5-10年,互联网
高级数据分析师,北京·朝阳区·望京,北京新氧万维,20-40K·14薪,本科,3-5年,互联网
数据分析师,北京·大兴区·亦庄,达达集团,20-40K·14薪,本科,3-5年,O2O
数据分析师,北京·海淀区·上地,贝壳找房,20-25K·16薪,本科,3-5年,互联网
数据分析,北京·通州区·次渠,京东集团,20-35K,本科,3-5年,电子商务
数据分析师,北京·朝阳区·太阳宫,BOSS直聘,20-40K·16薪,硕士,3-5年,人力资源服务
数据分析,北京·海淀区·上地,快手,30-60K·16薪,本科,3-5年,社交网络
数据分析专家,北京·海淀区·上地,滴滴,20-30K·15薪,本科,5-10年,移动互联网
数据分析师,北京·海淀区·马连洼,百度,15-30K,本科,3-5年,互联网
数据分析师,北京·海淀区·中关村,好未来,20-40K·14薪,硕士,3-5年,互联网
数据分析师,北京·朝阳区·酒仙桥,便利蜂,20-35K·14薪,本科,1-3年,互联网
资深数据分析师,北京·海淀区·上地,滴滴出行,25-40K,本科,3-5年,移动互联网
数据分析师,北京·朝阳区·安贞,饿了么,20-40K,本科,5-10年,O2O
高级数据分析-微视,北京·海淀区·双榆树,腾讯,25-50K,本科,3-5年,互联网
资深数据分析师,北京·海淀区·中关村,爱奇艺,25-30K·14薪,硕士,3-5年,互联网
数据分析师,北京·朝阳区·亚运村,快看世界,25-35K·14薪,本科,3-5年,移动互联网
人力数据分析师,北京·海淀区·上地,作业帮,20-35K·14薪,本科,5-10年,互联网
数据分析师,北京·朝阳区·望京,一点资讯,15-30K·14薪,本科,3-5年,移动互联网
数据分析,北京·通州区·次渠,京东集团,15-30K,本科,1-3年,电子商务
数据分析师,北京·朝阳区·太阳宫,BOSS直聘,20-30K·16薪,硕士,1-3年,人力资源服务
数据分析师,北京·海淀区·西北旺,滴滴,15-30K·15薪,本科,1-3年,移动互联网
数据分析师,北京·海淀区·上地,快手,20-40K·16薪,本科,3-5年,社交网络
数据分析专家,北京·海淀区·上地,滴滴出行,25-50K·15薪,本科,5-10年,移动互联网
数据分析师,北京·海淀区·中关村,好未来,25-50K·14薪,本科,3-5年,互联网
高级数据分析师,北京·海淀区·西北旺,百度,25-35K,本科,5-10年,互联网
数据分析师,北京·朝阳区·太阳宫,便利蜂,25-40K·14薪,本科,3-5年,互联网
数据分析师,北京·海淀区·中关村,腾讯,20-40K,本科,经验不限,互联网
数据分析师,北京·朝阳区·奥林匹克公园,京东集团,35-65K·16薪,硕士,5-10年,电子商务
数据分析师,北京·朝阳区·太阳宫,BOSS直聘,30-45K·14薪,硕士,5-10年,人力资源服务
高级数据分析师,北京·海淀区·西北旺,滴滴,20-40K·15薪,本科,3-5年,移动互联网
数据分析师,北京·海淀区·上地,快手,25-40K·16薪,本科,经验不限,社交网络
数据分析师,北京·海淀区·中关村,好未来,20-40K·14薪,本科,1-3年,互联网
数据分析师,北京·海淀区·马连洼,百度,20-30K,硕士,1-3年,互联网
腾讯广告行业服务数据分析,北京·海淀区·双榆树,腾讯,20-35K·16薪,本科,3-5年,互联网
数据分析师,北京·朝阳区·太阳宫,便利蜂,20-40K·14薪,本科,5-10年,互联网
数据分析师,北京·通州区·次渠,京东集团,20-35K,本科,3-5年,电子商务
数据分析,北京·朝阳区·太阳宫,BOSS直聘,20-40K·16薪,本科,3-5年,人力资源服务
数据分析师,北京·海淀区·上地,滴滴,15-30K·15薪,本科,5-10年,移动互联网
游戏数据分析,北京·海淀区·上地,快手,15-30K·16薪,本科,3-5年,社交网络
数据分析师,北京·昌平区·回龙观,好未来,18-35K·14薪,本科,3-5年,互联网
数据分析师,北京·朝阳区·太阳宫,便利蜂,20-40K·14薪,本科,经验不限,互联网
新闻数据分析师,北京·海淀区·双榆树,腾讯,30-60K·16薪,本科,5-10年,互联网
数据分析师,北京·海淀区·西北旺,百度,15-25K·15薪,本科,3-5年,互联网
数据分析师,北京·大兴区·亦庄,京东集团,20-35K·14薪,本科,5-10年,电子商务
数据分析师,北京·朝阳区·太阳宫,BOSS直聘,15-25K·16薪,本科,1-3年,人力资源服务
